Restaurant Name,City,Locality,Cuisines,Average Cost for two,Has Table booking,Has Online delivery, Rating Stars out of 5,Rating in text,Price range,Votes
Sultans of Spice,Bangalore,"BluPetal Hotel, Koramangala",North Indian,1300,Yes,Yes,4.1,Very Good,3,314
The Fatty Bao - Asian Gastro Bar,Bangalore,Indiranagar,Asian,2400,Yes,Yes,4.7,Excellent,4,591
Toit,Bangalore,Indiranagar,Italian,2000,No,No,4.8,Excellent,4,270
Three Dots & A Dash,Bangalore,Indiranagar,European,1300,Yes,No,3.9,Good,3,365
Bombay Brasserie,Bangalore,Indiranagar,Modern Indian,1500,No,Yes,4.2,Very Good,3,229
Glen's Bakehouse,Bangalore,Indiranagar,Bakery,800,No,No,4,Very Good,2,336
Onesta,Bangalore,Indiranagar,Fast Food,600,No,Yes,4.3,Very Good,2,520
Onesta,Bangalore,JP Nagar,Fast Food,600,No,No,4.6,Excellent,2,677
ECHOES Koramangala,Bangalore,Koramangala 5th Block,Continental,950,No,No,4.7,Excellent,2,621
Truffles,Bangalore,Koramangala 5th Block,American,800,No,Yes,4.7,Excellent,2,532
The Black Pearl,Bangalore,Koramangala 5th Block,North Indian,1400,Yes,No,4.1,Very Good,3,1070
Eat Street,Bangalore,Koramangala 6th Block,North Indian,400,No,Yes,4.3,Very Good,1,488
Koramangala Social,Bangalore,Koramangala 7th Block,Continental,1500,No,No,4.5,Excellent,3,294
AB's - Absolute Barbecues,Bangalore,Marathahalli,European,1400,No,No,4.6,Excellent,3,458
Flechazo,Bangalore,Marathahalli,Asian,1200,Yes,No,4.4,Very Good,3,223
Onesta,Bangalore,New BEL Road,Fast Food,600,No,No,4.6,Excellent,2,29
Communiti,Bangalore,Residency Road,Continental,1200,No,No,4.2,Very Good,3,72
Big Brewsky,Bangalore,Sarjapur Road,Fast Food,1800,Yes,Yes,4.5,Excellent,3,211
Hoot,Bangalore,Sarjapur Road,Continental,1400,No,No,3.9,Good,3,118
Farzi Cafe,Bangalore,UB City,Modern Indian,1500,No,No,4.4,Very Good,3,392
The Night Factory,Chandigarh,Chandigarh Industrial Area,North Indian,850,No,Yes,3.7,Good,2,535
Brooklyn Central,Chandigarh,"Elante Mall, Chandigarh Industrial Area",American,1600,No,No,4.2,Very Good,3,618
Chili's,Chandigarh,"Elante Mall, Chandigarh Industrial Area",Mexican,1400,No,Yes,4.3,Very Good,3,6
Kylin Experience,Chandigarh,"Elante Mall, Chandigarh Industrial Area",Japanese,1600,No,No,4.1,Very Good,3,9
Mocha Bar,Chandigarh,"Elante Mall, Chandigarh Industrial Area",Continental,1400,No,No,4,Very Good,3,11
Pirates of Grill,Chandigarh,"Elante Mall, Chandigarh Industrial Area",North Indian,1200,No,No,4,Very Good,3,11
Barbeque Nation,Chandigarh,Sector 26,North Indian,1300,No,No,4.5,Excellent,3,11
TGI Friday's,Chandigarh,Sector 26,American,1800,No,No,4.3,Very Good,3,10
Pal Dhaba,Chandigarh,Sector 28,North Indian,700,No,No,3.8,Good,2,8
Midnight Chef,Chandigarh,Sector 35,North Indian,1000,No,Yes,3.4,Average,3,5
Nik Baker's,Chandigarh,Sector 35,Bakery,650,No,No,4.1,Very Good,2,2
OvenFresh,Chandigarh,Sector 35,Cafe,650,No,No,4.1,Very Good,2,12
Super Donuts,Chandigarh,Sector 35,Fast Food,450,No,Yes,4,Very Good,1,9
Taco Bell,Chandigarh,Sector 35,Mexican,600,No,Yes,4.2,Very Good,2,9
Karim's,Chandigarh,Sector 7,Mughlai,800,No,No,3.3,Average,2,29
Virgin Courtyard,Chandigarh,Sector 7,Italian,2200,No,No,4.4,Very Good,4,17
Burgrill,Chandigarh,Sector 8,Fast Food,500,No,Yes,4.5,Excellent,2,5
Uncle Jack's,Chandigarh,Sector 8,Desserts,600,No,No,4,Very Good,2,10
That Madras Place,Chennai,Adyar,European,800,Yes,Yes,4.2,Very Good,2,6
Haunted,Chennai,Anna Nagar East,North Indian,800,Yes,Yes,3.8,Good,2,30
Pantry d'or,Chennai,Anna Nagar East,Continental,750,Yes,Yes,4.4,Very Good,2,8
Palmshore,Chennai,Ashok Nagar,North Indian,850,Yes,Yes,4.2,Very Good,2,9
Chili's,Chennai,"Express Avenue Mall,  Royapettah",Mexican,1700,Yes,Yes,4.8,Excellent,3,7
Writer's Cafe,Chennai,Gopalapuram,Cafe,450,No,Yes,4.2,Very Good,1,29
