sr_no,country,population(2020),world_share(%),land_area_km²
1,Honduras,9904607,0.1,111890
2,United Arab Emirates,9890402,0.1,83600
3,Djibouti,988000,0.0,23180
4,Seychelles,98347,0.0,460
5,Antigua and Barbuda,97929,0.0,440
6,Vietnam,97338579,1.2,310070
7,Hungary,9660351,0.1,90530
8,Tajikistan,9537645,0.1,139960
9,Belarus,9449323,0.1,202910
10,Austria,9006398,0.1,82409
11,Fiji,896445,0.0,18270
12,DR Congo,89561403,1.1,2267050
13,Papua New Guinea,8947024,0.1,452860
14,Serbia,8737371,0.1,87460
15,Comoros,869601,0.0,1861
16,Israel,8655535,0.1,21640
17,Switzerland,8654622,0.1,39516
18,Turkey,84339067,1.1,769630
19,Iran,83992949,1.1,1628550
20,Germany,83783942,1.1,348560
21,Togo,8278724,0.1,54390
22,Holy See,801,0.0,0
23,Sierra Leone,7976983,0.1,72180
24,Guyana,786552,0.0,196850
25,Andorra,77265,0.0,470
26,Bhutan,771608,0.0,38117
27,Laos,7275560,0.1,230800
28,Dominica,71986,0.0,750
29,Paraguay,7132538,0.1,397300
30,Thailand,69799978,0.9,510890
31,Bulgaria,6948445,0.1,108560
32,Libya,6871292,0.1,1759540
33,Solomon Islands,686884,0.0,27990
34,Lebanon,6825445,0.1,10230
35,United Kingdom,67886011,0.9,241930
36,Nicaragua,6624554,0.1,120340
37,France,65273511,0.8,547557
38,Kyrgyzstan,6524195,0.1,191800
39,El Salvador,6486205,0.1,20720
40,Montenegro,628066,0.0,13450
41,Luxembourg,625978,0.0,2590
42,Italy,60461826,0.8,294140
43,Turkmenistan,6031200,0.1,469930
44,Tanzania,59734218,0.8,885800
45,South Africa,59308690,0.8,1213090
46,Marshall Islands,59190,0.0,180
47,Suriname,586632,0.0,156000
48,Singapore,5850342,0.1,700
49,Denmark,5792202,0.1,42430
50,Cabo Verde,555987,0.0,4030
51,Finland,5540720,0.1,303890
52,Congo,5518087,0.1,341500
53,Micronesia,548914,0.0,700
54,Slovakia,5459642,0.1,48088
55,Myanmar,54409800,0.7,653290
56,Norway,5421241,0.1,365268
57,Maldives,540544,0.0,300
58,Kenya,53771296,0.7,569140
59,Saint Kitts & Nevis,53199,0.0,260
60,South Korea,51269185,0.7,97230
61,Oman,5106626,0.1,309500
62,State of Palestine,5101414,0.1,6020
63,Costa Rica,5094118,0.1,51060
64,Colombia,50882891,0.7,1109500
65,Liberia,5057681,0.1,96320
66,Ireland,4937786,0.1,68890
67,Central African Republic,4829767,0.1,622980
68,New Zealand,4822233,0.1,263310
69,Spain,46754778,0.6,498800
70,Mauritania,4649658,0.1,1030700
71,Uganda,45741007,0.6,199810
72,Argentina,45195774,0.6,2736690
73,Malta,441543,0.0,320
74,Algeria,43851044,0.6,2381740
75,Sudan,43849260,0.6,1765048
76,Brunei ,437479,0.0,5270
77,Ukraine,43733762,0.6,579320
78,Panama,4314767,0.1,74340
79,Kuwait,4270571,0.1,17820
80,Croatia,4105267,0.1,55960
81,Moldova,4033963,0.1,32850
82,Iraq,40222493,0.5,434320
83,Georgia,3989167,0.1,69490
84,Belize,397628,0.0,22810
85,Bahamas,393244,0.0,10010
86,Monaco,39242,0.0,1
87,Afghanistan,38928346,0.5,652860
88,Liechtenstein,38128,0.0,160
89,Poland,37846611,0.5,306230
90,Canada,37742154,0.5,9093510
91,Morocco,36910560,0.5,446300
92,Eritrea,3546421,0.0,101000
93,Saudi Arabia,34813871,0.4,2149690
94,Uruguay,3473730,0.0,175020
95,Iceland,341243,0.0,100250
96,San Marino,33931,0.0,60
97,Uzbekistan,33469203,0.4,425400
98,United States,331002651,4.2,9147420
99,Peru,32971854,0.4,1280000
100,Angola,32866272,0.4,1246700
101,Bosnia and Herzegovina,3280819,0.0,51000
102,Mongolia,3278290,0.0,1553560
103,Malaysia,32365999,0.4,328550
104,Mozambique,31255435,0.4,786380
105,Ghana,31072940,0.4,227540
106,Vanuatu,307145,0.0,12190
107,Yemen,29825964,0.4,527970
108,Armenia,2963243,0.0,28470
109,Jamaica,2961167,0.0,10830
110,Nepal,29136808,0.4,143350
